id_cliente;nome;email;telefone;endereco;data_cadastro
1;Srta. Raquel Moreira;matheus78@gmail.com;(071) 1347-0922;Sítio de Castro, 712, Pindorama, 72990-872 Pires do Campo / GO;2021-01-31
2;Eduardo Jesus;gomesmaria-julia@alves.com;81 0533-6434;Avenida Castro, 87, Vila Suzana Segunda Seção, 14353517 Cardoso Verde / TO;2020-05-22
3;Nathan Aragão;da-costaana-carolina@cardoso.com;(011) 5912-1201;Chácara Cunha, 38, Guaratã, 33348-862 Carvalho do Sul / RS;2020-05-07
4;Ana Júlia Sales;duartejuliana@yahoo.com.br;+55 (051) 3558-5458;Sítio de Pereira, 2, Nova Vista, 86105-544 Ferreira / RN;2022-09-02
5;Theo da Rocha;xribeiro@dias.com;0300-892-0321;Estação Davi Luiz da Cruz, Parque São José, 21718669 Monteiro / SP;2020-06-16
6;Marcos Vinicius Ferreira;maysabarros@carvalho.br;0300-066-6148;Núcleo de Gonçalves, 8, Vista Alegre, 80153699 Rocha / RR;2022-06-20
7;Maria Vitória Carvalho;esthercosta@hotmail.com;0900 181 6576;Viela de Cunha, 64, Vila Califórnia, 24985-878 Dias / SC;2020-06-24
8;Emanuel Pires;renan56@uol.com.br;+55 51 3443 8828;Viaduto Barbosa, 15, Jatobá, 27104039 Novaes Paulista / RJ;2021-07-08
9;Cauê Teixeira;beatriz42@ig.com.br;(051) 6722 6073;Passarela Silveira, 3, Capitão Eduardo, 46638-912 Fogaça / PR;2023-10-16
10;Mariane Monteiro;fernandada-paz@uol.com.br;0300-767-4852;Lago Anthony Souza, 19, Vila Betânia, 24991981 Costa / MT;2021-10-19
11;Lavínia Ribeiro;diogoribeiro@carvalho.br;+55 (061) 3414 1942;Passarela de Fogaça, Flavio De Oliveira, 83303486 Moreira Alegre / MS;2020-12-10
12;Srta. Stephany da Mota;barbara45@da.br;0300-188-3527;Campo Thomas Barros, 10, Xangri-Lá, 64488025 Castro do Amparo / MA;2024-02-26
13;Bruna Araújo;isabelcardoso@da.com;+55 (031) 4192 5081;Esplanada Duarte, 878, Vila Madre Gertrudes 4ª Seção, 15876091 Oliveira de Minas / MS;2024-04-09
14;Olivia da Rosa;ana-carolinagoncalves@hotmail.com;(041) 8394 5047;Residencial de Nunes, 76, Conjunto Califórnia I, 31532721 Aragão das Pedras / AL;2024-07-27
15;Bruno Mendes;eda-luz@gmail.com;84 4519 3133;Loteamento de Rodrigues, 72, Belmonte, 34324-377 Rezende / PA;2022-08-28
16;Dra. Emilly Ribeiro;zbarros@bol.com.br;+55 51 2210 9098;Favela de Castro, 92, Bairro Das Indústrias Ii, 35547106 da Mota / DF;2025-03-05
17;Ana Sophia Souza;pedro-lucascarvalho@melo.com;(011) 7879-1166;Campo Pedro Lucas Sales, 788, Conjunto Minas Caixa, 76015-324 Fogaça da Serra / RR;2024-02-10
18;Otávio Cavalcanti;evelyncardoso@fogaca.br;(021) 3161-3711;Distrito Souza, 24, Nova Esperança, 34110-022 Campos / AP;2021-02-06
19;Ana Beatriz Novaes;ramosrafaela@pereira.com;+55 (041) 2611-5739;Praça Cunha, 744, Bacurau, 04214329 Moreira das Pedras / BA;2022-09-03
